Sbox,N 14C,N sites,N bins,ag
6,494,121,332,0
7,1177,318,792,0
8,1668,233,641,1
9,1004,175,490,1
10,1467,312,602,1
16,2671,526,1510,0
17,1130,307,799,0
18,1661,474,1079,1
19,2106,561,1367,1
20,297,123,222,1
21,233,86,154,1
22,1235,266,726,1
23,530,165,359,1
24,987,319,690,1
25,365,129,273,1
27,1396,423,1057,0
28,584,113,398,0
29,914,317,703,0
30,3105,1092,2368,1
31,299,116,236,1
32,453,128,260,1
33,552,154,325,1
34,420,127,275,1
35,856,302,631,1
36,935,169,469,1
37,769,184,561,1
38,305,52,195,0
43,2240,544,1465,0
44,977,286,774,0
45,605,171,424,0
46,406,113,291,0
47,315,102,212,0
54,274,93,224,0
66,558,91,353,0
68,248,99,190,0
70,236,97,192,0
71,236,73,191,0
81,435,117,253,0
171,209,45,168,0
